Stimulus,Emg1,Emg2,Emg3,Emg4,Emg5,Emg6,Emg7,Emg8
0,-4,-3,0,1,2,12,5,0
0,10,0,-5,-1,2,0,3,1
0,-1,0,2,-2,0,-6,-4,-1
0,-3,-5,-1,1,2,8,3,-1
0,-1,21,7,1,-3,-4,-6,-2
0,-1,-6,-9,-3,-1,-4,1,-4
0,10,6,-4,0,1,8,8,7
0,-4,5,0,-2,-3,-6,-6,-6
0,-9,-23,-4,-3,-3,-3,-4,-2
0,-2,45,11,3,2,1,0,0
0,-8,-19,-10,-6,-3,-7,-7,-6
0,10,-2,-1,3,2,3,1,3
0,0,-13,-2,3,0,-2,-1,2
0,5,-4,-7,-9,-5,0,-1,0
0,0,3,12,3,0,1,1,0
0,2,5,-5,-6,-3,2,-1,1
0,-8,-14,-11,-6,-2,-5,-2,-2
0,1,-15,0,0,0,1,0,-1
0,0,14,12,7,-1,0,1,0
0,-7,-11,1,-2,-4,-6,-4,-4
0,4,3,7,12,6,-1,-2,0
0,0,-13,-9,-8,-4,0,0,-2
0,-3,-4,3,6,3,3,0,0
0,3,-6,-9,-10,-6,-4,-1,-2
0,-3,0,-2,-6,-6,-3,-1,-1
0,1,-9,9,17,6,2,-2,-2
0,-5,-6,-13,-11,-1,0,0,-1
0,-1,-1,8,2,-1,-2,-2,-1
0,2,2,-18,-30,-14,-6,-3,-2
0,3,-2,4,-2,1,0,2,1
0,2,5,1,12,4,-2,-2,1
0,-5,20,5,11,0,-2,-2,0
0,-1,-13,-11,-7,-2,-1,0,-1
0,-1,-3,0,-2,0,0,0,1
0,2,1,1,-4,-5,-4,-3,-6
0,-9,-5,1,4,1,-1,0,0
0,-3,-4,-5,-6,-1,-4,-3,-2
0,2,0,-4,1,2,2,0,-1
0,-1,1,-1,6,4,5,5,1
0,-1,-8,-1,7,3,0,0,-2
0,6,1,12,9,6,6,4,6
0,-5,-4,1,1,-5,-5,-7,-3
0,-9,-18,-29,-36,-22,-16,-12,-7
0,7,8,14,9,15,13,12,9
0,0,-7,0,5,1,0,1,-4
0,-12,3,-24,-5,-2,-1,-2,-3
0,-6,0,16,-10,-15,-11,-10,-6
0,7,2,14,7,5,4,4,5
0,0,14,10,8,6,3,3,0
0,1,-21,-8,-1,-1,-4,-2,-3
0,-6,13,-4,6,-5,-9,-4,-6
0,-1,-23,-12,-10,5,7,5,4
0,2,-20,-2,15,5,2,2,0
0,-3,4,-9,-16,-11,-5,-3,-3
0,-7,-11,-5,5,-4,-5,-7,-2
0,12,14,4,2,6,5,6,4
0,3,8,-5,6,7,4,2,2
0,-8,-8,6,-7,-7,-5,-5,-5
0,-4,-16,-6,-4,-6,-5,-5,-4
0,6,8,-13,1,9,7,6,5
